# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	1.000000	471082.211540	7645455.350464	14.279600	68.918600
13.500000	1.000000	471082.211540	7645455.350464	14.279600	68.918600
22.500000	1.000000	471082.211540	7645455.350464	14.279600	68.918600
31.500000	1.000000	471082.211540	7645455.350464	14.279600	68.918600
40.500000	2.000000	471082.211540	7645455.350464	14.279600	68.918600
49.500000	2.000000	471082.211540	7645455.350464	14.279600	68.918600
58.500000	2.000000	471082.211540	7645455.350464	14.279600	68.918600
67.500000	3.000000	471082.211540	7645455.350464	14.279600	68.918600
76.500000	4.000000	471082.211540	7645455.350464	14.279600	68.918600
85.500000	5.000000	471082.211540	7645455.350464	14.279600	68.918600
94.500000	6.000000	471082.211540	7645455.350464	14.279600	68.918600
103.500000	8.000000	471082.211540	7645455.350464	14.279600	68.918600
112.500000	10.000000	471082.211540	7645455.350464	14.279600	68.918600
121.500000	13.000000	471082.211540	7645455.350464	14.279600	68.918600
130.500000	18.000000	471082.211540	7645455.350464	14.279600	68.918600
139.500000	24.000000	471082.211540	7645455.350464	14.279600	68.918600
148.500000	31.000000	471082.211540	7645455.350464	14.279600	68.918600
157.500000	40.000000	471082.211540	7645455.350464	14.279600	68.918600
166.500000	52.000000	471082.211540	7645455.350464	14.279600	68.918600
175.500000	65.000000	471082.211540	7645455.350464	14.279600	68.918600
184.500000	81.000000	471082.211540	7645455.350464	14.279600	68.918600
193.500000	112.000000	471082.211540	7645455.350464	14.279600	68.918600
